Block,direction,latitude,longitude,
144,SE,45.98542199,-112.540189,
144,SW,45.98542199,-112.540325,
144,NE,45.98554201,-112.540189,
144,NW,45.98554201,-112.540325,
145,SE,45.98542199,-112.540034,
145,SW,45.98542199,-112.54017,
145,NE,45.98554201,-112.540034,
145,NW,45.98554201,-112.54017,
146,SE,45.98542199,-112.53984,
146,SW,45.98542199,-112.539976,
146,NE,45.98554201,-112.53984,
146,NW,45.98554201,-112.539976,
147,SE,45.98542199,-112.539682,
147,SW,45.98542199,-112.539818,
147,NE,45.98554201,-112.539682,
147,NW,45.98554201,-112.539818,
148,SE,45.98542199,-112.539524,
148,SW,45.98542199,-112.53966,
148,NE,45.98554201,-112.539524,
148,NW,45.98554201,-112.53966,
149,SE,45.98542199,-112.539368,
149,SW,45.98542199,-112.539504,
149,NE,45.98554201,-112.539368,
149,NW,45.98554201,-112.539504,
150,SE,45.98542199,-112.539208,
150,SW,45.98542199,-112.539344,
150,NE,45.98554201,-112.539208,
150,NW,45.98554201,-112.539344,
151,SE,45.98555099,-112.540655,
151,SW,45.98555099,-112.540791,
151,NE,45.98567101,-112.540655,
151,NW,45.98567101,-112.540791,
152,SE,45.98555099,-112.540506,
152,SW,45.98555099,-112.540642,
152,NE,45.98567101,-112.540506,
152,NW,45.98567101,-112.540642,
153,SE,45.98555099,-112.540355,
153,SW,45.98555099,-112.540491,
153,NE,45.98567101,-112.540355,
153,NW,45.98567101,-112.540491,
154,SE,45.98555099,-112.540189,
154,SW,45.98555099,-112.540325,
154,NE,45.98567101,-112.540189,
154,NW,45.98567101,-112.540325,
155,SE,45.98555099,-112.540034,
155,SW,45.98555099,-112.54017,
155,NE,45.98567101,-112.540034,
155,NW,45.98567101,-112.54017,
156,SE,45.98555099,-112.53984,
156,SW,45.98555099,-112.539976,
156,NE,45.98567101,-112.53984,
156,NW,45.985665,-112.539972,
157,SE,45.98555099,-112.539682,
157,SW,45.98555099,-112.539818,
157,NE,45.98567101,-112.539682,
157,NW,45.98567101,-112.539818,
158,SE,45.98555099,-112.539524,
158,SW,45.98555099,-112.53966,
158,NE,45.98567101,-112.539524,
158,NW,45.98567101,-112.53966,
159,SE,45.98555099,-112.539368,
159,SW,45.98555099,-112.539504,
159,NE,45.98567101,-112.539368,
159,NW,45.98567101,-112.539504,
160,SE,45.98555099,-112.539208,
160,SW,45.98555099,-112.539344,
160,NE,45.98567101,-112.539208,
160,NW,45.98567101,-112.539344,
161,SE,45.98555099,-112.540858,
161,SW,45.98555099,-112.540994,
161,NE,45.98567101,-112.540858,
161,NW,45.98567101,-112.540994,
162,SE,45.98542199,-112.540858,
162,SW,45.98542199,-112.540994,
162,NE,45.98554201,-112.540858,
162,NW,45.98554201,-112.540994,
163,SE,45.98527999,-112.540858,
163,SW,45.98527999,-112.540994,
163,NE,45.98540001,-112.540858,
163,NW,45.98540001,-112.540994,
164,SE,45.98514799,-112.540858,
164,SW,45.98514799,-112.540994,
164,NE,45.98526801,-112.540858,
164,NW,45.98526801,-112.540994,
165,SE,45.98501099,-112.540858,
165,SW,45.98501099,-112.540994,
165,NE,45.98513101,-112.540858,
165,NW,45.98513101,-112.540994,
166,SE,45.98486399,-112.540858,
166,SW,45.98486399,-112.540994,
166,NE,45.98498401,-112.540858,
166,NW,45.98498401,-112.540994,
167,SE,45.98472999,-112.540858,
167,SW,45.98472999,-112.540994,
167,NE,45.98485001,-112.540858,
167,NW,45.98485001,-112.540994,
168,SE,45.98459399,-112.540858,
168,SW,45.98459399,-112.540994,
168,NE,45.98471401,-112.540858,
168,NW,45.98471401,-112.540994,
169,SE,45.98445399,-112.540858,
169,SW,45.98445399,-112.540994,
169,NE,45.98457401,-112.540858,
169,NW,45.98457401,-112.540994,
170,SE,45.98431899,-112.540858,
170,SW,45.98431899,-112.540994,
170,NE,45.98443901,-112.540858,
170,NW,45.98443901,-112.540994,
171,SE,45.98415199,-112.540858,
171,SW,45.98415199,-112.540994,
171,NE,45.98427201,-112.540858,
171,NW,45.98427201,-112.540994,
172,SE,45.98401899,-112.540858,
172,SW,45.98401899,-112.540994,
172,NE,45.98413901,-112.540858,
172,NW,45.98413901,-112.540994,
173,SE,45.98387699,-112.540858,
173,SW,45.98387699,-112.540994,
173,NE,45.98399701,-112.540858,
173,NW,45.98399701,-112.540994,
174,SE,45.98373999,-112.540858,
174,SW,45.98373999,-112.540994,
174,NE,45.98386001,-112.540858,
174,NW,45.98386001,-112.540994,
175,SE,45.98360399,-112.540858,
175,SW,45.98360399,-112.540994,
175,NE,45.98372401,-112.540858,
175,NW,45.98372401,-112.540994,
176,SE,45.98346599,-112.540858,
176,SW,45.98346599,-112.540994,
176,NE,45.98358601,-112.540858,
176,NW,45.98358601,-112.540994,
177,SE,45.98346599,-112.541026,
177,SW,45.98346599,-112.541162,
177,NE,45.98358601,-112.541026,
177,NW,45.98358601,-112.541162,
178,SE,45.98360399,-112.541026,
178,SW,45.98360399,-112.541162,
178,NE,45.98372401,-112.541026,
178,NW,45.98372401,-112.541162,
179,SE,45.98373999,-112.541026,
179,SW,45.98373999,-112.541162,
179,NE,45.98386001,-112.541026,
179,NW,45.98386001,-112.541162,
180,SE,45.98387699,-112.541026,
180,SW,45.98387699,-112.541162,
180,NE,45.98399701,-112.541026,
180,NW,45.98399701,-112.541162,
181,SE,45.98401899,-112.541026,
181,SW,45.98401899,-112.541162,
181,NE,45.98413901,-112.541026,
181,NW,45.98413901,-112.541162,
182,SE,45.98415199,-112.541026,
182,SW,45.98415199,-112.541162,
182,NE,45.98427201,-112.541026,
182,NW,45.98427201,-112.541162,
183,SE,45.98431899,-112.541026,
183,SW,45.98431899,-112.541162,
183,NE,45.98443901,-112.541026,
183,NW,45.98443901,-112.541162,
184,SE,45.98445399,-112.541026,
184,SW,45.98445399,-112.541162,
184,NE,45.98457401,-112.541026,
184,NW,45.98457401,-112.541162,
185,SE,45.98459399,-112.541026,
185,SW,45.98459399,-112.541162,
185,NE,45.98471401,-112.541026,
185,NW,45.98471401,-112.541162,
186,SE,45.98472999,-112.541026,
186,SW,45.98472999,-112.541162,
186,NE,45.98485001,-112.541026,
186,NW,45.98485001,-112.541162,
187,SE,45.98486399,-112.541026,
187,SW,45.98486399,-112.541162,
187,NE,45.98498401,-112.541026,
187,NW,45.98498401,-112.541162,
188,SE,45.98501099,-112.541026,
188,SW,45.98501099,-112.541162,
188,NE,45.98513101,-112.541026,
188,NW,45.98513101,-112.541162,
189,SE,45.98514799,-112.541026,
189,SW,45.98514799,-112.541162,
189,NE,45.98526801,-112.541026,
189,NW,45.98526801,-112.541162,
190,SE,45.98527999,-112.541026,
190,SW,45.98527999,-112.541162,
190,NE,45.98540001,-112.541026,
190,NW,45.98540001,-112.541162,
191,SE,45.98542199,-112.541026,
191,SW,45.98542199,-112.541162,
191,NE,45.98554201,-112.541026,
191,NW,45.98554201,-112.541162,
192,SE,45.98555099,-112.541026,
192,SW,45.98555099,-112.541162,
192,NE,45.98567101,-112.541026,
192,NW,45.98567101,-112.541162,
193,SE,45.98555099,-112.541183,
193,SW,45.98555099,-112.541319,
193,NE,45.98567101,-112.541183,
193,NW,45.98567101,-112.541319,
194,SE,45.98542199,-112.541183,
194,SW,45.98542199,-112.541319,
194,NE,45.98554201,-112.541183,
194,NW,45.98554201,-112.541319,
195,SE,45.98527999,-112.541183,
195,SW,45.98527999,-112.541319,
195,NE,45.98540001,-112.541183,
195,NW,45.98540001,-112.541319,
196,SE,45.98514799,-112.541183,
196,SW,45.98514799,-112.541319,
