Block,Cardinal directions,latitude,longitude,,Correct,"If Not Correct, notes on why"
109,SW,45.98486399,-112.539504,,X,
109,NE,45.98498401,-112.539368,,X,
109,NW,45.98498401,-112.539504,,X,
110,SE,45.98486399,-112.539208,,X,
110,SW,45.98486399,-112.539344,,X,
110,NE,45.98498401,-112.539208,,X,
110,NW,45.98498401,-112.539344,,X,
111,SE,45.98501099,-112.540655,,X,
111,SW,45.98501099,-112.540791,,X,
111,NE,45.98513101,-112.540655,,X,
111,NW,45.98513101,-112.540791,,X,
112,SE,45.98501099,-112.540506,,X,
112,SW,45.98501099,-112.540642,,X,
112,NE,45.98513101,-112.540506,,X,
112,NW,45.98513101,-112.540642,,X,
113,SE,45.98501099,-112.540355,,X,
113,SW,45.98501099,-112.540491,,X,
113,NE,45.98513101,-112.540355,,X,
113,NW,45.98513101,-112.540491,,X,
114,SE,45.98501099,-112.540189,,X,
114,SW,45.98501099,-112.540325,,X,
114,NE,45.98513101,-112.540189,,X,
114,NW,45.98513101,-112.540325,,X,
115,SE,45.98501099,-112.540034,,X,
115,SW,45.98501099,-112.54017,,X,
115,NE,45.98513101,-112.540034,,X,
115,NW,45.98513101,-112.54017,,X,
116,SE,45.98501099,-112.53984,,X,
116,SW,45.98501099,-112.539976,,X,
116,NE,45.98513101,-112.53984,,X,
116,NW,45.98513101,-112.539976,,X,
117,SE,45.98501099,-112.539682,,X,
117,SW,45.98501099,-112.539818,,X,
117,NE,45.98513101,-112.539682,,X,
117,NW,45.98513101,-112.539818,,X,
118,SE,45.98501099,-112.539524,,X,
118,SW,45.98501099,-112.53966,,X,
118,NE,45.98513101,-112.539524,,X,
118,NW,45.98513101,-112.53966,,X,
119,SE,45.98501099,-112.539368,,X,
119,SW,45.98501099,-112.539504,,X,
119,NE,45.98513101,-112.539368,,X,
119,NW,45.98513101,-112.539504,,X,
120,SE,45.98501099,-112.539208,,X,
120,SW,45.98501099,-112.539344,,X,
120,NE,45.98513101,-112.539208,,X,
120,NW,45.98513101,-112.539344,,X,
121,SE,45.98514799,-112.540655,,X,
121,SW,45.98514799,-112.540791,,X,
121,NE,45.98526801,-112.540655,,X,
121,NW,45.98526801,-112.540791,,X,
